tick,logic,n_tasks,jain_index,max_error_pct,avg_error_pct,ops_saved,apaf_state
1,EXACT,100,0.010000,0.000000,0.000000,0,N/A
2,EXACT,100,0.020000,0.000000,0.000000,0,N/A
3,EXACT,100,0.030000,0.000000,0.000000,0,N/A
4,EXACT,100,0.040000,0.000000,0.000000,0,N/A
5,EXACT,100,0.050000,0.000000,0.000000,0,N/A
6,EXACT,100,0.060000,0.000000,0.000000,0,N/A
7,EXACT,100,0.070000,0.000000,0.000000,0,N/A
8,EXACT,100,0.080000,0.000000,0.000000,0,N/A
9,EXACT,100,0.090000,0.000000,0.000000,0,N/A
10,EXACT,100,0.100000,0.000000,0.000000,0,N/A
11,EXACT,100,0.110000,0.000000,0.000000,0,N/A
12,EXACT,100,0.120000,0.000000,0.000000,0,N/A
13,EXACT,100,0.130000,0.000000,0.000000,0,N/A
14,EXACT,100,0.140000,0.000000,0.000000,0,N/A
15,EXACT,100,0.150000,0.000000,0.000000,0,N/A
16,EXACT,100,0.160000,0.000000,0.000000,0,N/A
17,EXACT,100,0.170000,0.000000,0.000000,0,N/A
18,EXACT,100,0.180000,0.000000,0.000000,0,N/A
19,EXACT,100,0.190000,0.000000,0.000000,0,N/A
20,EXACT,100,0.200000,0.000000,0.000000,0,N/A
21,EXACT,100,0.210000,0.000000,0.000000,0,N/A
22,EXACT,100,0.220000,0.000000,0.000000,0,N/A
23,EXACT,100,0.230000,0.000000,0.000000,0,N/A
24,EXACT,100,0.240000,0.000000,0.000000,0,N/A
25,EXACT,100,0.250000,0.000000,0.000000,0,N/A
26,EXACT,100,0.260000,0.000000,0.000000,0,N/A
27,EXACT,100,0.270000,0.000000,0.000000,0,N/A
28,EXACT,100,0.280000,0.000000,0.000000,0,N/A
29,EXACT,100,0.290000,0.000000,0.000000,0,N/A
30,EXACT,100,0.300000,0.000000,0.000000,0,N/A
31,EXACT,100,0.310000,0.000000,0.000000,0,N/A
32,EXACT,100,0.320000,0.000000,0.000000,0,N/A
33,EXACT,100,0.330000,0.000000,0.000000,0,N/A
34,EXACT,100,0.340000,0.000000,0.000000,0,N/A
35,EXACT,100,0.350000,0.000000,0.000000,0,N/A
36,EXACT,100,0.360000,0.000000,0.000000,0,N/A
37,EXACT,100,0.370000,0.000000,0.000000,0,N/A
38,EXACT,100,0.380000,0.000000,0.000000,0,N/A
39,EXACT,100,0.390000,0.000000,0.000000,0,N/A
40,EXACT,100,0.400000,0.000000,0.000000,0,N/A
41,EXACT,100,0.410000,0.000000,0.000000,0,N/A
42,EXACT,100,0.420000,0.000000,0.000000,0,N/A
43,EXACT,100,0.430000,0.000000,0.000000,0,N/A
44,EXACT,100,0.440000,0.000000,0.000000,0,N/A
45,EXACT,100,0.450000,0.000000,0.000000,0,N/A
46,EXACT,100,0.460000,0.000000,0.000000,0,N/A
47,EXACT,100,0.470000,0.000000,0.000000,0,N/A
48,EXACT,100,0.480000,0.000000,0.000000,0,N/A
49,EXACT,100,0.490000,0.000000,0.000000,0,N/A
50,EXACT,100,0.500000,0.000000,0.000000,0,N/A
51,EXACT,100,0.510000,0.000000,0.000000,0,N/A
52,EXACT,100,0.520000,0.000000,0.000000,0,N/A
53,EXACT,100,0.530000,0.000000,0.000000,0,N/A
54,EXACT,100,0.540000,0.000000,0.000000,0,N/A
55,EXACT,100,0.550000,0.000000,0.000000,0,N/A
56,EXACT,100,0.560000,0.000000,0.000000,0,N/A
57,EXACT,100,0.570000,0.000000,0.000000,0,N/A
58,EXACT,100,0.580000,0.000000,0.000000,0,N/A
59,EXACT,100,0.590000,0.000000,0.000000,0,N/A
60,EXACT,100,0.600000,0.000000,0.000000,0,N/A
61,EXACT,100,0.610000,0.000000,0.000000,0,N/A
62,EXACT,100,0.620000,0.000000,0.000000,0,N/A
63,EXACT,100,0.630000,0.000000,0.000000,0,N/A
64,EXACT,100,0.640000,0.000000,0.000000,0,N/A
65,EXACT,100,0.650000,0.000000,0.000000,0,N/A
66,EXACT,100,0.660000,0.000000,0.000000,0,N/A
67,EXACT,100,0.670000,0.000000,0.000000,0,N/A
68,EXACT,100,0.680000,0.000000,0.000000,0,N/A
69,EXACT,100,0.690000,0.000000,0.000000,0,N/A
70,EXACT,100,0.700000,0.000000,0.000000,0,N/A
71,EXACT,100,0.710000,0.000000,0.000000,0,N/A
72,EXACT,100,0.720000,0.000000,0.000000,0,N/A
73,EXACT,100,0.730000,0.000000,0.000000,0,N/A
74,EXACT,100,0.740000,0.000000,0.000000,0,N/A
75,EXACT,100,0.750000,0.000000,0.000000,0,N/A
76,EXACT,100,0.760000,0.000000,0.000000,0,N/A
77,EXACT,100,0.770000,0.000000,0.000000,0,N/A
78,EXACT,100,0.780000,0.000000,0.000000,0,N/A
79,EXACT,100,0.790000,0.000000,0.000000,0,N/A
80,EXACT,100,0.800000,0.000000,0.000000,0,N/A
81,EXACT,100,0.810000,0.000000,0.000000,0,N/A
82,EXACT,100,0.820000,0.000000,0.000000,0,N/A
83,EXACT,100,0.830000,0.000000,0.000000,0,N/A
84,EXACT,100,0.840000,0.000000,0.000000,0,N/A
85,EXACT,100,0.850000,0.000000,0.000000,0,N/A
86,EXACT,100,0.860000,0.000000,0.000000,0,N/A
87,EXACT,100,0.870000,0.000000,0.000000,0,N/A
88,EXACT,100,0.880000,0.000000,0.000000,0,N/A
89,EXACT,100,0.890000,0.000000,0.000000,0,N/A
90,EXACT,100,0.900000,0.000000,0.000000,0,N/A
91,EXACT,100,0.910000,0.000000,0.000000,0,N/A
92,EXACT,100,0.920000,0.000000,0.000000,0,N/A
93,EXACT,100,0.930000,0.000000,0.000000,0,N/A
94,EXACT,100,0.940000,0.000000,0.000000,0,N/A
95,EXACT,100,0.950000,0.000000,0.000000,0,N/A
96,EXACT,100,0.960000,0.000000,0.000000,0,N/A
97,EXACT,100,0.970000,0.000000,0.000000,0,N/A
98,EXACT,100,0.980000,0.000000,0.000000,0,N/A
99,EXACT,100,0.990000,0.000000,0.000000,0,N/A
100,EXACT,100,1.000000,0.000000,0.000000,0,N/A
101,EXACT,100,0.990388,0.000000,0.000000,0,N/A
102,EXACT,100,0.981509,0.000000,0.000000,0,N/A
103,EXACT,100,0.973303,0.000000,0.000000,0,N/A
104,EXACT,100,0.965714,0.000000,0.000000,0,N/A
105,EXACT,100,0.958696,0.000000,0.000000,0,N/A
106,EXACT,100,0.952203,0.000000,0.000000,0,N/A
107,EXACT,100,0.946198,0.000000,0.000000,0,N/A
108,EXACT,100,0.940645,0.000000,0.000000,0,N/A
109,EXACT,100,0.935512,0.000000,0.000000,0,N/A
110,EXACT,100,0.930769,0.000000,0.000000,0,N/A
111,EXACT,100,0.926391,0.000000,0.000000,0,N/A
112,EXACT,100,0.922353,0.000000,0.000000,0,N/A
113,EXACT,100,0.918633,0.000000,0.000000,0,N/A
114,EXACT,100,0.915211,0.000000,0.000000,0,N/A
115,EXACT,100,0.912069,0.000000,0.000000,0,N/A
116,EXACT,100,0.909189,0.000000,0.000000,0,N/A
117,EXACT,100,0.906556,0.000000,0.000000,0,N/A
118,EXACT,100,0.904156,0.000000,0.000000,0,N/A
119,EXACT,100,0.901975,0.000000,0.000000,0,N/A
120,EXACT,100,0.900000,0.000000,0.000000,0,N/A
121,EXACT,100,0.898221,0.000000,0.000000,0,N/A
122,EXACT,100,0.896627,0.000000,0.000000,0,N/A
123,EXACT,100,0.895207,0.000000,0.000000,0,N/A
124,EXACT,100,0.893953,0.000000,0.000000,0,N/A
125,EXACT,100,0.892857,0.000000,0.000000,0,N/A
126,EXACT,100,0.891910,0.000000,0.000000,0,N/A
127,EXACT,100,0.891105,0.000000,0.000000,0,N/A
128,EXACT,100,0.890435,0.000000,0.000000,0,N/A
129,EXACT,100,0.889893,0.000000,0.000000,0,N/A
130,EXACT,100,0.889474,0.000000,0.000000,0,N/A
131,EXACT,100,0.889171,0.000000,0.000000,0,N/A
132,EXACT,100,0.888980,0.000000,0.000000,0,N/A
133,EXACT,100,0.888894,0.000000,0.000000,0,N/A
134,EXACT,100,0.888911,0.000000,0.000000,0,N/A
135,EXACT,100,0.889024,0.000000,0.000000,0,N/A
136,EXACT,100,0.889231,0.000000,0.000000,0,N/A
137,EXACT,100,0.889526,0.000000,0.000000,0,N/A
138,EXACT,100,0.889907,0.000000,0.000000,0,N/A
139,EXACT,100,0.890369,0.000000,0.000000,0,N/A
