tick,logic,n_tasks,jain_index,max_error_pct,avg_error_pct,ops_saved,apaf_state
1,APAF,10,0.100000,0.000000,0.000000,30,MEDIUM
2,APAF,10,0.200000,0.000000,0.000000,30,MEDIUM
3,APAF,10,0.300000,0.000000,0.000000,30,MEDIUM
4,APAF,10,0.400000,1.176471,1.176471,20,TIGHT
5,APAF,10,0.500000,0.000000,0.000000,20,TIGHT
6,APAF,10,0.600000,0.000000,0.000000,20,TIGHT
7,APAF,10,0.700000,0.694444,0.694444,20,TIGHT
8,APAF,10,0.800000,0.613497,0.613497,20,TIGHT
9,APAF,10,0.900000,0.000000,0.000000,20,TIGHT
10,APAF,10,1.000000,0.000000,0.000000,20,TIGHT
11,APAF,10,0.930769,0.000000,0.000000,20,TIGHT
12,APAF,10,0.900000,0.000000,0.000000,20,TIGHT
13,APAF,10,0.889474,0.000000,0.000000,20,TIGHT
14,APAF,10,0.890909,0.000000,0.000000,20,TIGHT
15,APAF,10,0.900000,0.352113,0.352113,20,TIGHT
16,APAF,10,0.914286,0.333333,0.333333,20,TIGHT
17,APAF,10,0.932258,0.000000,0.000000,20,TIGHT
18,APAF,10,0.952941,0.000000,0.000000,20,TIGHT
19,APAF,10,0.975676,0.000000,0.000000,20,TIGHT
20,APAF,10,1.000000,0.277778,0.277778,30,MEDIUM
21,APAF,10,0.980000,0.267380,0.267380,30,MEDIUM
22,APAF,10,0.968000,0.257732,0.257732,30,MEDIUM
23,APAF,10,0.961818,0.249377,0.249377,30,MEDIUM
24,APAF,10,0.960000,0.481928,0.481928,30,MEDIUM
25,APAF,10,0.961538,0.700935,0.700935,30,MEDIUM
26,APAF,10,0.965714,0.680272,0.680272,30,MEDIUM
27,APAF,10,0.972000,0.662252,0.662252,30,MEDIUM
28,APAF,10,0.980000,0.645161,0.645161,40,LOOSE
29,APAF,10,0.989412,0.628931,0.628931,40,LOOSE
30,APAF,10,1.000000,0.613497,0.613497,40,LOOSE
31,APAF,10,0.990722,0.798403,0.798403,40,LOOSE
32,APAF,10,0.984615,0.781250,0.781250,40,LOOSE
33,APAF,10,0.981081,0.764818,0.764818,40,LOOSE
34,APAF,10,0.979661,0.562852,0.562852,40,LOOSE
35,APAF,10,0.980000,0.551471,0.551471,40,LOOSE
36,APAF,10,0.981818,0.541516,0.541516,40,LOOSE
37,APAF,10,0.984892,0.531915,0.531915,40,LOOSE
38,APAF,10,0.989041,0.522648,0.522648,40,LOOSE
39,APAF,10,0.994118,0.513699,0.513699,40,LOOSE
40,APAF,10,1.000000,0.505902,0.505902,40,LOOSE
41,APAF,10,0.994675,0.332226,0.332226,40,LOOSE
42,APAF,10,0.991011,0.490196,0.490196,40,LOOSE
43,APAF,10,0.988770,0.322581,0.322581,40,LOOSE
44,APAF,10,0.987755,0.476948,0.476948,40,LOOSE
45,APAF,10,0.987805,0.313972,0.313972,40,LOOSE
46,APAF,10,0.988785,0.464396,0.464396,40,LOOSE
47,APAF,10,0.990583,0.458716,0.458716,40,LOOSE
48,APAF,10,0.993103,0.453172,0.453172,40,LOOSE
49,APAF,10,0.996266,0.447761,0.447761,40,LOOSE
50,APAF,10,1.000000,0.295421,0.295421,40,LOOSE
51,APAF,10,0.996552,0.437956,0.437956,40,LOOSE
52,APAF,10,0.994118,0.289017,0.289017,40,LOOSE
53,APAF,10,0.992580,0.286123,0.286123,40,LOOSE
54,APAF,10,0.991837,0.283286,0.283286,40,LOOSE
55,APAF,10,0.991803,0.280505,0.280505,40,LOOSE
56,APAF,10,0.992405,0.278164,0.278164,40,LOOSE
57,APAF,10,0.993578,0.275482,0.275482,40,LOOSE
58,APAF,10,0.995266,0.273224,0.273224,40,LOOSE
59,APAF,10,0.997421,0.270636,0.270636,40,LOOSE
60,APAF,10,1.000000,0.268456,0.268456,40,LOOSE
61,APAF,10,0.997587,0.266312,0.266312,40,LOOSE
62,APAF,10,0.995855,0.264201,0.264201,40,LOOSE
63,APAF,10,0.994737,0.262467,0.262467,40,LOOSE
64,APAF,10,0.994175,0.260417,0.260417,40,LOOSE
65,APAF,10,0.994118,0.129366,0.129366,40,LOOSE
66,APAF,10,0.994521,0.256739,0.256739,40,LOOSE
67,APAF,10,0.995344,0.255102,0.255102,40,LOOSE
68,APAF,10,0.996552,0.126743,0.126743,40,LOOSE
69,APAF,10,0.998113,0.125945,0.125945,40,LOOSE
70,APAF,10,1.000000,0.125156,0.125156,40,LOOSE
71,APAF,10,0.998218,0.248756,0.248756,40,LOOSE
72,APAF,10,0.996923,0.247219,0.247219,40,LOOSE
73,APAF,10,0.996075,0.123001,0.123001,40,LOOSE
74,APAF,10,0.995636,0.244499,0.244499,40,LOOSE
75,APAF,10,0.995575,0.121655,0.121655,40,LOOSE
76,APAF,10,0.995862,0.241838,0.241838,40,LOOSE
77,APAF,10,0.996471,0.240674,0.240674,40,LOOSE
78,APAF,10,0.997377,0.119760,0.119760,40,LOOSE
79,APAF,10,0.998560,0.119190,0.119190,40,LOOSE
80,APAF,10,1.000000,0.118624,0.118624,40,LOOSE
81,APAF,10,0.998630,0.118064,0.118064,40,LOOSE
82,APAF,10,0.997626,0.235018,0.235018,40,LOOSE
83,APAF,10,0.996961,0.117096,0.117096,40,LOOSE
84,APAF,10,0.996610,0.116550,0.116550,40,LOOSE
85,APAF,10,0.996552,0.232019,0.232019,40,LOOSE
86,APAF,10,0.996765,0.115607,0.115607,40,LOOSE
87,APAF,10,0.997233,0.115207,0.115207,40,LOOSE
88,APAF,10,0.997938,0.114679,0.114679,40,LOOSE
89,APAF,10,0.998865,0.114286,0.114286,40,LOOSE
90,APAF,10,1.000000,0.113895,0.113895,40,LOOSE
91,APAF,10,0.998914,0.113507,0.113507,40,LOOSE
92,APAF,10,0.998113,0.113122,0.113122,40,LOOSE
93,APAF,10,0.997578,0.112740,0.112740,40,LOOSE
94,APAF,10,0.997291,0.112360,0.112360,40,LOOSE
95,APAF,10,0.997238,0.111982,0.111982,40,LOOSE
96,APAF,10,0.997403,0.111607,0.111607,40,LOOSE
97,APAF,10,0.997773,0.111235,0.111235,40,LOOSE
98,APAF,10,0.998337,0.000000,0.000000,40,LOOSE
99,APAF,10,0.999083,0.110619,0.110619,40,LOOSE
100,APAF,10,1.000000,0.110254,0.110254,40,LOOSE
101,APAF,10,0.999119,0.110011,0.110011,40,LOOSE
102,APAF,10,0.998464,0.109649,0.109649,40,LOOSE
103,APAF,10,0.998024,0.109409,0.109409,40,LOOSE
104,APAF,10,0.997786,0.000000,0.000000,40,LOOSE
105,APAF,10,0.997738,0.108814,0.108814,40,LOOSE
106,APAF,10,0.997869,0.108578,0.108578,40,LOOSE
107,APAF,10,0.998169,0.108342,0.108342,40,LOOSE
108,APAF,10,0.998630,0.000000,0.000000,40,LOOSE
109,APAF,10,0.999243,0.000000,0.000000,40,LOOSE
110,APAF,10,1.000000,0.000000,0.000000,40,LOOSE
111,APAF,10,0.999270,0.000000,0.000000,40,LOOSE
112,APAF,10,0.998726,0.000000,0.000000,40,LOOSE
113,APAF,10,0.998358,0.000000,0.000000,40,LOOSE
114,APAF,10,0.998157,0.000000,0.000000,40,LOOSE
115,APAF,10,0.998113,0.000000,0.000000,40,LOOSE
116,APAF,10,0.998220,0.106270,0.106270,40,LOOSE
