tick,logic,n_tasks,jain_index,max_error_pct,avg_error_pct,ops_saved,apaf_state
1,CLTI,10,0.100000,0.000000,0.000000,40,N/A
2,CLTI,10,0.200000,0.000000,0.000000,40,N/A
3,CLTI,10,0.300000,0.000000,0.000000,40,N/A
4,CLTI,10,0.400000,0.000000,0.000000,40,N/A
5,CLTI,10,0.500000,0.000000,0.000000,40,N/A
6,CLTI,10,0.600000,0.806452,0.806452,40,N/A
7,CLTI,10,0.700000,0.000000,0.000000,40,N/A
8,CLTI,10,0.800000,0.000000,0.000000,40,N/A
9,CLTI,10,0.900000,0.552486,0.552486,40,N/A
10,CLTI,10,1.000000,0.502513,0.502513,40,N/A
11,CLTI,10,0.930769,0.460829,0.460829,40,N/A
12,CLTI,10,0.900000,0.427350,0.427350,40,N/A
13,CLTI,10,0.889474,0.398406,0.398406,40,N/A
14,CLTI,10,0.890909,0.749064,0.749064,40,N/A
15,CLTI,10,0.900000,0.352113,0.352113,40,N/A
16,CLTI,10,0.914286,0.333333,0.333333,40,N/A
17,CLTI,10,0.932258,0.634921,0.634921,40,N/A
18,CLTI,10,0.952941,0.606061,0.606061,40,N/A
19,CLTI,10,0.975676,0.579710,0.579710,40,N/A
20,CLTI,10,1.000000,0.555556,0.555556,40,N/A
21,CLTI,10,0.980000,0.802139,0.802139,40,N/A
22,CLTI,10,0.968000,0.773196,0.773196,40,N/A
23,CLTI,10,0.961818,0.997506,0.997506,40,N/A
24,CLTI,10,0.960000,0.722892,0.722892,40,N/A
25,CLTI,10,0.961538,0.700935,0.700935,40,N/A
26,CLTI,10,0.965714,0.680272,0.680272,40,N/A
27,CLTI,10,0.972000,0.883002,0.883002,40,N/A
28,CLTI,10,0.980000,1.075269,1.075269,40,N/A
29,CLTI,10,0.989412,1.048218,1.048218,40,N/A
30,CLTI,10,1.000000,1.022495,1.022495,40,N/A
31,CLTI,10,0.990722,0.798403,0.798403,40,N/A
32,CLTI,10,0.984615,0.976562,0.976562,40,N/A
33,CLTI,10,0.981081,0.956023,0.956023,40,N/A
34,CLTI,10,0.979661,1.125704,1.125704,40,N/A
35,CLTI,10,0.980000,1.102941,1.102941,40,N/A
36,CLTI,10,0.981818,1.263538,1.263538,40,N/A
37,CLTI,10,0.984892,1.241135,1.241135,40,N/A
38,CLTI,10,0.989041,1.219512,1.219512,40,N/A
39,CLTI,10,0.994118,1.198630,1.198630,40,N/A
40,CLTI,10,1.000000,1.349073,1.349073,40,N/A
41,CLTI,10,0.994675,1.328904,1.328904,40,N/A
42,CLTI,10,0.991011,1.143791,1.143791,40,N/A
43,CLTI,10,0.988770,1.290323,1.290323,40,N/A
44,CLTI,10,0.987755,1.271860,1.271860,40,N/A
45,CLTI,10,0.987805,1.412873,1.412873,40,N/A
46,CLTI,10,0.988785,1.393189,1.393189,40,N/A
47,CLTI,10,0.990583,1.376147,1.376147,40,N/A
48,CLTI,10,0.993103,1.359517,1.359517,40,N/A
