tick,logic,n_tasks,jain_index,max_error_pct,avg_error_pct,ops_saved,apaf_state
1,BSA,50,0.020000,0.000000,0.000000,50,N/A
2,BSA,50,0.040000,0.000000,0.000000,50,N/A
3,BSA,50,0.060000,1.562500,1.562500,50,N/A
4,BSA,50,0.080000,2.352941,2.352941,50,N/A
5,BSA,50,0.100000,1.904762,1.904762,50,N/A
6,BSA,50,0.120000,2.419355,2.419355,50,N/A
7,BSA,50,0.140000,2.777778,2.777778,50,N/A
8,BSA,50,0.160000,3.680982,3.680982,50,N/A
9,BSA,50,0.180000,3.867403,3.867403,50,N/A
10,BSA,50,0.200000,4.020101,4.020101,50,N/A
11,BSA,50,0.220000,4.608295,4.608295,50,N/A
12,BSA,50,0.240000,5.128205,5.128205,50,N/A
13,BSA,50,0.260000,5.577689,5.577689,50,N/A
14,BSA,50,0.280000,5.617978,5.617978,50,N/A
15,BSA,50,0.300000,6.338028,6.338028,50,N/A
16,BSA,50,0.320000,6.666667,6.666667,50,N/A
17,BSA,50,0.340000,6.984127,6.984127,50,N/A
18,BSA,50,0.360000,7.272727,7.272727,50,N/A
19,BSA,50,0.380000,7.826087,7.826087,50,N/A
20,BSA,50,0.400000,8.333333,8.333333,50,N/A
21,BSA,50,0.420000,8.556150,8.556150,50,N/A
22,BSA,50,0.440000,9.020619,9.020619,50,N/A
23,BSA,50,0.460000,9.226933,9.226933,50,N/A
24,BSA,50,0.480000,9.879518,9.879518,50,N/A
25,BSA,50,0.500000,10.046729,10.046729,50,N/A
26,BSA,50,0.520000,10.430839,10.430839,50,N/A
27,BSA,50,0.540000,10.816777,10.816777,50,N/A
28,BSA,50,0.560000,10.967742,10.967742,50,N/A
29,BSA,50,0.580000,11.320755,11.320755,50,N/A
30,BSA,50,0.600000,11.860941,11.860941,50,N/A
31,BSA,50,0.620000,12.175649,12.175649,50,N/A
32,BSA,50,0.640000,12.500000,12.500000,50,N/A
33,BSA,50,0.660000,12.810707,12.810707,50,N/A
34,BSA,50,0.680000,12.945591,12.945591,50,N/A
35,BSA,50,0.700000,13.419118,13.419118,50,N/A
36,BSA,50,0.720000,13.718412,13.718412,50,N/A
37,BSA,50,0.740000,14.007092,14.007092,50,N/A
38,BSA,50,0.760000,14.285714,14.285714,50,N/A
39,BSA,50,0.780000,14.554795,14.554795,50,N/A
40,BSA,50,0.800000,14.839798,14.839798,50,N/A
41,BSA,50,0.820000,15.116279,15.116279,50,N/A
42,BSA,50,0.840000,15.522876,15.522876,50,N/A
43,BSA,50,0.860000,15.645161,15.645161,50,N/A
44,BSA,50,0.880000,15.898251,15.898251,50,N/A
45,BSA,50,0.900000,16.169545,16.169545,50,N/A
46,BSA,50,0.920000,16.563467,16.563467,50,N/A
47,BSA,50,0.940000,16.666667,16.666667,50,N/A
48,BSA,50,0.960000,17.069486,17.069486,50,N/A
49,BSA,50,0.980000,17.313433,17.313433,50,N/A
50,BSA,50,1.000000,17.429838,17.429838,50,N/A
51,BSA,50,0.981509,17.810219,17.810219,50,N/A
52,BSA,50,0.965714,17.919075,17.919075,50,N/A
53,BSA,50,0.952203,18.168813,18.168813,50,N/A
54,BSA,50,0.940645,18.413598,18.413598,50,N/A
55,BSA,50,0.930769,18.653576,18.653576,50,N/A
56,BSA,50,0.922353,18.776078,18.776078,50,N/A
57,BSA,50,0.915211,19.008264,19.008264,50,N/A
58,BSA,50,0.909189,19.262295,19.262295,50,N/A
59,BSA,50,0.904156,19.485792,19.485792,50,N/A
60,BSA,50,0.900000,19.731544,19.731544,50,N/A
61,BSA,50,0.896627,19.973369,19.973369,50,N/A
62,BSA,50,0.893953,20.211361,20.211361,50,N/A
63,BSA,50,0.891910,20.209974,20.209974,50,N/A
64,BSA,50,0.890435,20.572917,20.572917,50,N/A
