tick,logic,n_tasks,jain_index,max_error_pct,avg_error_pct,ops_saved,apaf_state
1,CLTI,11,0.090909,0.000000,0.000000,44,N/A
2,CLTI,11,0.181818,0.026469,0.002406,44,N/A
3,CLTI,11,0.272727,0.071352,0.006487,44,N/A
4,CLTI,11,0.363636,0.108181,0.009835,44,N/A
5,CLTI,11,0.454545,0.142139,0.012922,44,N/A
6,CLTI,11,0.500000,0.806452,0.752437,40,N/A
7,CLTI,11,0.600000,0.285453,0.025950,40,N/A
8,CLTI,11,0.700000,0.361727,0.032884,40,N/A
9,CLTI,11,0.800000,0.552486,0.541282,40,N/A
10,CLTI,11,0.900000,0.502513,0.502245,40,N/A
11,CLTI,11,1.000000,0.460829,0.418936,44,N/A
12,CLTI,11,0.935065,0.427350,0.388500,44,N/A
13,CLTI,11,0.808612,0.398406,0.362188,44,N/A
14,CLTI,11,0.685315,0.749064,0.680967,44,N/A
15,CLTI,11,0.584416,0.352113,0.320102,44,N/A
16,CLTI,11,0.930769,0.333333,0.303030,40,N/A
17,CLTI,11,0.900000,0.634921,0.577201,40,N/A
18,CLTI,11,0.889474,0.606061,0.550964,40,N/A
19,CLTI,11,0.890909,0.579710,0.527009,40,N/A
20,CLTI,11,0.900000,0.555556,0.505051,40,N/A
21,CLTI,11,0.756432,0.802139,0.729217,44,N/A
22,CLTI,11,0.785714,0.773196,0.702905,44,N/A
23,CLTI,11,0.815100,0.997506,0.906824,44,N/A
24,CLTI,11,0.844575,0.722892,0.657174,44,N/A
25,CLTI,11,0.874126,0.700935,0.637213,44,N/A
26,CLTI,11,0.980000,0.680272,0.618429,40,N/A
27,CLTI,11,0.968000,0.883002,0.802729,40,N/A
28,CLTI,11,0.961818,1.075269,0.977517,40,N/A
29,CLTI,11,0.960000,1.048218,0.952925,40,N/A
30,CLTI,11,0.961538,1.022495,0.929541,40,N/A
31,CLTI,11,0.864986,0.798403,0.725821,44,N/A
32,CLTI,11,0.816587,0.976562,0.887784,44,N/A
