tick,logic,n_tasks,jain_index,max_error_pct,avg_error_pct,ops_saved,apaf_state
1,EXACT,11,0.090909,0.000000,0.000000,0,N/A
2,EXACT,11,0.181818,0.000000,0.000000,0,N/A
3,EXACT,11,0.272727,0.000000,0.000000,0,N/A
4,EXACT,11,0.363636,0.000000,0.000000,0,N/A
5,EXACT,11,0.454545,0.000000,0.000000,0,N/A
6,EXACT,11,0.500000,0.000000,0.000000,0,N/A
7,EXACT,11,0.600000,0.000000,0.000000,0,N/A
8,EXACT,11,0.700000,0.000000,0.000000,0,N/A
9,EXACT,11,0.800000,0.000000,0.000000,0,N/A
10,EXACT,11,0.900000,0.000000,0.000000,0,N/A
11,EXACT,11,1.000000,0.000000,0.000000,0,N/A
12,EXACT,11,0.935065,0.000000,0.000000,0,N/A
13,EXACT,11,0.808612,0.000000,0.000000,0,N/A
14,EXACT,11,0.685315,0.000000,0.000000,0,N/A
15,EXACT,11,0.584416,0.000000,0.000000,0,N/A
16,EXACT,11,0.930769,0.000000,0.000000,0,N/A
17,EXACT,11,0.900000,0.000000,0.000000,0,N/A
18,EXACT,11,0.889474,0.000000,0.000000,0,N/A
19,EXACT,11,0.890909,0.000000,0.000000,0,N/A
20,EXACT,11,0.900000,0.000000,0.000000,0,N/A
21,EXACT,11,0.657228,0.000000,0.000000,0,N/A
22,EXACT,11,0.594595,0.000000,0.000000,0,N/A
23,EXACT,11,0.540347,0.000000,0.000000,0,N/A
24,EXACT,11,0.493997,0.000000,0.000000,0,N/A
25,EXACT,11,0.454545,0.000000,0.000000,0,N/A
26,EXACT,11,0.914286,0.000000,0.000000,0,N/A
27,EXACT,11,0.932258,0.000000,0.000000,0,N/A
28,EXACT,11,0.952941,0.000000,0.000000,0,N/A
29,EXACT,11,0.975676,0.000000,0.000000,0,N/A
30,EXACT,11,1.000000,0.000000,0.000000,0,N/A
31,EXACT,11,0.542631,0.000000,0.000000,0,N/A
32,EXACT,11,0.505929,0.000000,0.000000,0,N/A
33,EXACT,11,0.473684,0.000000,0.000000,0,N/A
34,EXACT,11,0.445300,0.000000,0.000000,0,N/A
35,EXACT,11,0.420240,0.000000,0.000000,0,N/A
36,EXACT,11,0.980000,0.000000,0.000000,0,N/A
37,EXACT,11,0.968000,0.000000,0.000000,0,N/A
38,EXACT,11,0.961818,0.000000,0.000000,0,N/A
39,EXACT,11,0.960000,0.000000,0.000000,0,N/A
40,EXACT,11,0.961538,0.000000,0.000000,0,N/A
41,EXACT,11,0.476069,0.000000,0.000000,0,N/A
42,EXACT,11,0.453005,0.000000,0.000000,0,N/A
43,EXACT,11,0.432110,0.000000,0.000000,0,N/A
44,EXACT,11,0.413146,0.000000,0.000000,0,N/A
45,EXACT,11,0.427125,0.000000,0.000000,0,N/A
46,EXACT,11,0.972000,0.000000,0.000000,0,N/A
47,EXACT,11,0.980000,0.000000,0.000000,0,N/A
48,EXACT,11,0.989412,0.000000,0.000000,0,N/A
49,EXACT,11,1.000000,0.000000,0.000000,0,N/A
50,EXACT,11,0.990722,0.000000,0.000000,0,N/A
51,EXACT,11,0.475764,0.000000,0.000000,0,N/A
52,EXACT,11,0.456911,0.000000,0.000000,0,N/A
53,EXACT,11,0.439524,0.000000,0.000000,0,N/A
54,EXACT,11,0.423468,0.000000,0.000000,0,N/A
55,EXACT,11,0.408618,0.000000,0.000000,0,N/A
56,EXACT,11,0.984615,0.000000,0.000000,0,N/A
57,EXACT,11,0.981081,0.000000,0.000000,0,N/A
58,EXACT,11,0.979661,0.000000,0.000000,0,N/A
59,EXACT,11,0.980000,0.000000,0.000000,0,N/A
60,EXACT,11,0.981818,0.000000,0.000000,0,N/A
61,EXACT,11,0.446860,0.000000,0.000000,0,N/A
62,EXACT,11,0.432493,0.000000,0.000000,0,N/A
63,EXACT,11,0.419069,0.000000,0.000000,0,N/A
64,EXACT,11,0.406511,0.000000,0.000000,0,N/A
65,EXACT,11,0.416133,0.000000,0.000000,0,N/A
66,EXACT,11,0.989041,0.000000,0.000000,0,N/A
67,EXACT,11,0.994118,0.000000,0.000000,0,N/A
68,EXACT,11,1.000000,0.000000,0.000000,0,N/A
69,EXACT,11,0.994675,0.000000,0.000000,0,N/A
70,EXACT,11,0.991011,0.000000,0.000000,0,N/A
71,EXACT,11,0.449728,0.000000,0.000000,0,N/A
72,EXACT,11,0.437173,0.000000,0.000000,0,N/A
73,EXACT,11,0.425333,0.000000,0.000000,0,N/A
74,EXACT,11,0.414158,0.000000,0.000000,0,N/A
75,EXACT,11,0.403602,0.000000,0.000000,0,N/A
76,EXACT,11,0.988770,0.000000,0.000000,0,N/A
77,EXACT,11,0.987755,0.000000,0.000000,0,N/A
78,EXACT,11,0.987805,0.000000,0.000000,0,N/A
79,EXACT,11,0.988785,0.000000,0.000000,0,N/A
80,EXACT,11,0.990583,0.000000,0.000000,0,N/A
81,EXACT,11,0.432527,0.000000,0.000000,0,N/A
82,EXACT,11,0.422150,0.000000,0.000000,0,N/A
83,EXACT,11,0.412293,0.000000,0.000000,0,N/A
84,EXACT,11,0.402924,0.000000,0.000000,0,N/A
85,EXACT,11,0.394012,0.000000,0.000000,0,N/A
86,EXACT,11,0.993103,0.000000,0.000000,0,N/A
87,EXACT,11,0.996266,0.000000,0.000000,0,N/A
88,EXACT,11,1.000000,0.000000,0.000000,0,N/A
89,EXACT,11,0.996552,0.000000,0.000000,0,N/A
90,EXACT,11,0.994118,0.000000,0.000000,0,N/A
91,EXACT,11,0.419865,0.000000,0.000000,0,N/A
92,EXACT,11,0.411033,0.000000,0.000000,0,N/A
93,EXACT,11,0.402597,0.000000,0.000000,0,N/A
94,EXACT,11,0.394535,0.000000,0.000000,0,N/A
95,EXACT,11,0.386824,0.000000,0.000000,0,N/A
96,EXACT,11,0.992580,0.000000,0.000000,0,N/A
97,EXACT,11,0.991837,0.000000,0.000000,0,N/A
98,EXACT,11,0.991803,0.000000,0.000000,0,N/A
99,EXACT,11,0.992405,0.000000,0.000000,0,N/A
100,EXACT,11,0.993578,0.000000,0.000000,0,N/A
101,EXACT,11,0.409794,0.000000,0.000000,0,N/A
102,EXACT,11,0.402134,0.000000,0.000000,0,N/A
103,EXACT,11,0.394783,0.000000,0.000000,0,N/A
104,EXACT,11,0.387726,0.000000,0.000000,0,N/A
105,EXACT,11,0.393511,0.000000,0.000000,0,N/A
106,EXACT,11,0.997421,0.000000,0.000000,0,N/A
107,EXACT,11,1.000000,0.000000,0.000000,0,N/A
108,EXACT,11,0.997587,0.000000,0.000000,0,N/A
109,EXACT,11,0.995855,0.000000,0.000000,0,N/A
110,EXACT,11,0.994737,0.000000,0.000000,0,N/A
111,EXACT,11,0.414388,0.000000,0.000000,0,N/A
112,EXACT,11,0.407273,0.000000,0.000000,0,N/A
113,EXACT,11,0.400420,0.000000,0.000000,0,N/A
114,EXACT,11,0.393818,0.000000,0.000000,0,N/A
115,EXACT,11,0.387455,0.000000,0.000000,0,N/A
116,EXACT,11,0.994175,0.000000,0.000000,0,N/A
117,EXACT,11,0.994118,0.000000,0.000000,0,N/A
118,EXACT,11,0.994521,0.000000,0.000000,0,N/A
119,EXACT,11,0.995344,0.000000,0.000000,0,N/A
120,EXACT,11,0.996552,0.000000,0.000000,0,N/A
121,EXACT,11,0.406661,0.000000,0.000000,0,N/A
122,EXACT,11,0.400323,0.000000,0.000000,0,N/A
123,EXACT,11,0.394200,0.000000,0.000000,0,N/A
124,EXACT,11,0.388283,0.000000,0.000000,0,N/A
125,EXACT,11,0.393151,0.000000,0.000000,0,N/A
126,EXACT,11,1.000000,0.000000,0.000000,0,N/A
127,EXACT,11,0.998218,0.000000,0.000000,0,N/A
128,EXACT,11,0.996923,0.000000,0.000000,0,N/A
129,EXACT,11,0.996075,0.000000,0.000000,0,N/A
130,EXACT,11,0.995636,0.000000,0.000000,0,N/A
131,EXACT,11,0.410658,0.000000,0.000000,0,N/A
132,EXACT,11,0.404701,0.000000,0.000000,0,N/A
133,EXACT,11,0.398931,0.000000,0.000000,0,N/A
134,EXACT,11,0.393341,0.000000,0.000000,0,N/A
135,EXACT,11,0.387923,0.000000,0.000000,0,N/A
136,EXACT,11,0.995575,0.000000,0.000000,0,N/A
137,EXACT,11,0.995862,0.000000,0.000000,0,N/A
138,EXACT,11,0.996471,0.000000,0.000000,0,N/A
139,EXACT,11,0.997377,0.000000,0.000000,0,N/A
140,EXACT,11,0.998560,0.000000,0.000000,0,N/A
141,EXACT,11,0.404422,0.000000,0.000000,0,N/A
142,EXACT,11,0.399018,0.000000,0.000000,0,N/A
143,EXACT,11,0.393773,0.000000,0.000000,0,N/A
144,EXACT,11,0.388679,0.000000,0.000000,0,N/A
145,EXACT,11,0.383731,0.000000,0.000000,0,N/A
146,EXACT,11,1.000000,0.000000,0.000000,0,N/A
147,EXACT,11,0.998630,0.000000,0.000000,0,N/A
148,EXACT,11,0.997626,0.000000,0.000000,0,N/A
149,EXACT,11,0.996961,0.000000,0.000000,0,N/A
150,EXACT,11,0.996610,0.000000,0.000000,0,N/A
151,EXACT,11,0.398849,0.000000,0.000000,0,N/A
152,EXACT,11,0.393917,0.000000,0.000000,0,N/A
153,EXACT,11,0.389119,0.000000,0.000000,0,N/A
154,EXACT,11,0.384451,0.000000,0.000000,0,N/A
155,EXACT,11,0.379908,0.000000,0.000000,0,N/A
156,EXACT,11,0.996552,0.000000,0.000000,0,N/A
157,EXACT,11,0.996765,0.000000,0.000000,0,N/A
158,EXACT,11,0.997233,0.000000,0.000000,0,N/A
159,EXACT,11,0.997938,0.000000,0.000000,0,N/A
160,EXACT,11,0.998865,0.000000,0.000000,0,N/A
161,EXACT,11,0.394254,0.000000,0.000000,0,N/A
162,EXACT,11,0.389712,0.000000,0.000000,0,N/A
163,EXACT,11,0.385287,0.000000,0.000000,0,N/A
164,EXACT,11,0.380974,0.000000,0.000000,0,N/A
