tick,logic,n_tasks,jain_index,max_error_pct,avg_error_pct,ops_saved,apaf_state
1,APAF,20,0.050000,0.000000,0.000000,60,MEDIUM
2,APAF,20,0.100000,0.000000,0.000000,60,MEDIUM
3,APAF,20,0.150000,0.166945,0.055648,60,MEDIUM
4,APAF,20,0.200000,1.176471,0.476545,40,TIGHT
5,APAF,20,0.250000,0.204708,0.051177,40,TIGHT
6,APAF,20,0.300000,0.172414,0.043103,40,TIGHT
7,APAF,20,0.350000,0.694444,0.210952,40,TIGHT
8,APAF,20,0.400000,0.613497,0.169887,40,TIGHT
9,APAF,20,0.450000,0.118624,0.029656,40,TIGHT
10,APAF,20,0.500000,0.107875,0.026969,40,TIGHT
11,APAF,20,0.550000,0.099108,0.024777,40,TIGHT
12,APAF,20,0.600000,0.091785,0.022946,40,TIGHT
13,APAF,20,0.650000,0.085616,0.021404,40,TIGHT
14,APAF,20,0.700000,0.080321,0.020080,40,TIGHT
15,APAF,20,0.750000,0.352113,0.097498,40,TIGHT
16,APAF,20,0.800000,0.333333,0.101267,40,TIGHT
17,APAF,20,0.850000,0.068213,0.017053,40,TIGHT
18,APAF,20,0.900000,0.065083,0.016271,40,TIGHT
19,APAF,20,0.950000,0.000000,0.000000,40,TIGHT
20,APAF,20,1.000000,0.277778,0.069444,60,MEDIUM
21,APAF,20,0.958696,2.500000,0.691845,60,MEDIUM
22,APAF,20,0.930769,0.257732,0.064433,60,MEDIUM
23,APAF,20,0.912069,0.249377,0.062344,60,MEDIUM
24,APAF,20,0.900000,0.481928,0.120482,60,MEDIUM
25,APAF,20,0.892857,0.700935,0.175234,60,MEDIUM
26,APAF,20,0.845000,2.127660,0.701983,60,MEDIUM
27,APAF,20,0.810000,0.662252,0.165563,60,MEDIUM
28,APAF,20,0.784000,0.645161,0.161290,40,TIGHT
29,APAF,20,0.764545,1.960784,0.647429,40,TIGHT
30,APAF,20,0.750000,1.923077,0.685268,40,TIGHT
31,APAF,20,0.717164,0.798403,0.199601,40,TIGHT
32,APAF,20,0.691892,0.781250,0.195312,40,TIGHT
33,APAF,20,0.672222,16.666667,4.357871,40,TIGHT
34,APAF,20,0.656818,1.754386,0.579309,40,TIGHT
35,APAF,20,0.644737,1.724138,0.568902,40,TIGHT
36,APAF,20,0.661224,1.694915,0.559108,40,TIGHT
37,APAF,20,0.677723,0.531915,0.132979,40,TIGHT
38,APAF,20,0.694231,0.522648,0.130662,40,TIGHT
39,APAF,20,0.710748,0.513699,0.128425,40,TIGHT
40,APAF,20,0.727273,0.505902,0.126476,40,TIGHT
41,APAF,20,0.706303,0.498339,0.124585,40,TIGHT
42,APAF,20,0.689063,14.285714,3.734827,40,TIGHT
43,APAF,20,0.674818,0.483871,0.120968,40,TIGHT
44,APAF,20,0.663014,1.492537,0.492371,40,TIGHT
45,APAF,20,0.653226,1.470588,0.485386,40,TIGHT
46,APAF,20,0.637349,1.449275,0.478418,40,TIGHT
47,APAF,20,0.624011,0.458716,0.114679,40,TIGHT
48,APAF,20,0.612766,0.453172,0.113293,40,TIGHT
49,APAF,20,0.603266,0.447761,0.111940,40,TIGHT
50,APAF,20,0.595238,0.443131,0.110783,40,TIGHT
51,APAF,20,0.583184,1.369863,0.451955,40,TIGHT
52,APAF,20,0.572881,1.351351,0.446219,40,TIGHT
53,APAF,20,0.564056,0.429185,0.107296,40,TIGHT
54,APAF,20,0.556489,0.424929,0.106232,40,TIGHT
55,APAF,20,0.550000,1.315789,0.434137,40,TIGHT
56,APAF,20,0.560000,0.278164,0.069541,40,TIGHT
57,APAF,20,0.570000,0.413223,0.103306,40,TIGHT
58,APAF,20,0.580000,0.273224,0.068306,40,TIGHT
59,APAF,20,0.590000,1.265823,0.417944,40,TIGHT
60,APAF,20,0.600000,0.402685,0.100671,40,TIGHT
61,APAF,20,0.590635,0.399467,0.099867,40,TIGHT
62,APAF,20,0.582424,0.396301,0.099075,40,TIGHT
63,APAF,20,0.575217,0.262467,0.065617,40,TIGHT
64,APAF,20,0.568889,1.219512,0.402534,40,TIGHT
65,APAF,20,0.563333,0.258732,0.064683,40,TIGHT
66,APAF,20,0.555612,0.385109,0.096277,40,TIGHT
67,APAF,20,0.548778,11.111111,2.873441,40,TIGHT
68,APAF,20,0.542723,0.253485,0.063371,40,TIGHT
69,APAF,20,0.537359,0.251889,0.062972,40,TIGHT
70,APAF,20,0.532609,0.250313,0.062578,40,TIGHT
71,APAF,20,0.526200,0.373134,0.093284,40,TIGHT
72,APAF,20,0.520482,0.370828,0.092707,40,TIGHT
73,APAF,20,0.515377,0.246002,0.061501,40,TIGHT
74,APAF,20,0.510821,0.366748,0.091687,40,TIGHT
75,APAF,20,0.506757,0.243309,0.060827,40,TIGHT
76,APAF,20,0.513879,0.362757,0.090689,40,TIGHT
77,APAF,20,0.521002,0.361011,0.090253,40,TIGHT
78,APAF,20,0.528125,0.359281,0.089820,40,TIGHT
79,APAF,20,0.535249,0.357569,0.089392,40,TIGHT
80,APAF,20,0.542373,1.111111,0.366746,40,TIGHT
81,APAF,20,0.553204,0.354191,0.088548,40,TIGHT
82,APAF,20,0.564094,0.352526,0.088132,40,TIGHT
83,APAF,20,0.575042,0.234192,0.058548,40,TIGHT
84,APAF,20,0.586047,0.349650,0.087413,40,TIGHT
85,APAF,20,0.597107,1.086957,0.358746,40,TIGHT
86,APAF,20,0.590735,0.346821,0.086705,40,TIGHT
87,APAF,20,0.584930,0.230415,0.057604,40,TIGHT
88,APAF,20,0.579641,10.000000,2.854826,40,TIGHT
89,APAF,20,0.574819,0.342857,0.085714,40,TIGHT
90,APAF,20,0.570423,0.227790,0.056948,40,TIGHT
91,APAF,20,0.564870,0.227015,0.056754,40,TIGHT
92,APAF,20,0.559788,0.226244,0.056561,40,TIGHT
93,APAF,20,0.555135,0.225479,0.056370,40,TIGHT
94,APAF,20,0.550873,1.052632,0.319338,40,TIGHT
95,APAF,20,0.546970,0.223964,0.055991,40,TIGHT
96,APAF,20,0.542118,0.334821,0.083705,40,TIGHT
97,APAF,20,0.537657,1.041667,0.343843,40,TIGHT
98,APAF,20,0.533556,0.221976,0.055494,40,TIGHT
99,APAF,20,0.529784,0.221239,0.055310,40,TIGHT
100,APAF,20,0.526316,0.330761,0.082690,40,TIGHT
101,APAF,20,0.531856,1.030928,0.312737,40,TIGHT
102,APAF,20,0.537397,0.328947,0.082237,40,TIGHT
103,APAF,20,0.542938,0.328228,0.082057,40,TIGHT
104,APAF,20,0.548479,1.020408,0.309687,40,TIGHT
105,APAF,20,0.554020,0.326442,0.081610,40,TIGHT
106,APAF,20,0.549706,0.325733,0.081433,40,TIGHT
107,APAF,20,0.545710,0.216685,0.054171,40,TIGHT
108,APAF,20,0.542007,0.216216,0.054054,40,TIGHT
109,APAF,20,0.538577,1.010101,0.306463,40,TIGHT
110,APAF,20,0.535398,0.215285,0.053821,40,TIGHT
111,APAF,20,0.531536,0.214823,0.053706,40,TIGHT
112,APAF,20,0.527946,0.214362,0.053591,40,TIGHT
113,APAF,20,0.524610,1.000000,0.303476,40,TIGHT
114,APAF,20,0.521509,0.213447,0.053362,40,TIGHT
115,APAF,20,0.518627,0.212993,0.053248,40,TIGHT
116,APAF,20,0.515161,0.318810,0.079702,40,TIGHT
117,APAF,20,0.511930,0.318134,0.079533,40,TIGHT
118,APAF,20,0.508918,0.990099,0.326890,40,TIGHT
119,APAF,20,0.506112,0.990099,0.300379,40,TIGHT
120,APAF,20,0.503497,0.316456,0.079114,40,TIGHT
121,APAF,20,0.508015,0.315789,0.078947,40,TIGHT
122,APAF,20,0.512534,0.210305,0.052576,40,TIGHT
123,APAF,20,0.517054,0.314795,0.078699,40,TIGHT
124,APAF,20,0.521574,0.980392,0.297509,40,TIGHT
125,APAF,20,0.526094,0.980392,0.323550,40,TIGHT
126,APAF,20,0.522925,9.090909,2.324974,40,TIGHT
127,APAF,20,0.519955,9.090909,2.350934,40,TIGHT
128,APAF,20,0.517172,0.312500,0.078125,40,TIGHT
129,APAF,20,0.514564,0.208117,0.052029,40,TIGHT
130,APAF,20,0.512121,0.311526,0.077882,40,TIGHT
131,APAF,20,0.509228,0.970874,0.320519,40,TIGHT
132,APAF,20,0.506512,0.970874,0.294532,40,TIGHT
133,APAF,20,0.503960,0.310238,0.077559,40,TIGHT
134,APAF,20,0.501564,0.309917,0.077479,40,TIGHT
135,APAF,20,0.499315,0.309598,0.077399,40,TIGHT
136,APAF,20,0.496670,0.206186,0.051546,40,TIGHT
137,APAF,20,0.494181,0.205973,0.051493,40,TIGHT
138,APAF,20,0.491839,0.961538,0.291825,40,TIGHT
139,APAF,20,0.489635,0.961538,0.317387,40,TIGHT
140,APAF,20,0.487562,0.961538,0.317308,40,TIGHT
141,APAF,20,0.491374,0.307377,0.076844,40,TIGHT
142,APAF,20,0.495187,0.307062,0.076766,40,TIGHT
143,APAF,20,0.499000,0.306748,0.076687,40,TIGHT
144,APAF,20,0.502813,0.306435,0.076609,40,TIGHT
145,APAF,20,0.506627,0.306122,0.076531,40,TIGHT
146,APAF,20,0.512404,0.305810,0.076453,40,TIGHT
147,APAF,20,0.518201,0.305499,0.076375,40,TIGHT
148,APAF,20,0.524019,0.952381,0.289012,40,TIGHT
149,APAF,20,0.529857,0.952381,0.288960,40,TIGHT
150,APAF,20,0.535714,0.203252,0.050813,40,TIGHT
151,APAF,20,0.532983,0.304569,0.076142,40,TIGHT
152,APAF,20,0.530395,0.304260,0.076065,40,TIGHT
153,APAF,20,0.527943,0.303951,0.075988,40,TIGHT
154,APAF,20,0.525621,0.303644,0.075911,40,TIGHT
155,APAF,20,0.523420,0.202429,0.050607,40,TIGHT
156,APAF,20,0.520890,0.303337,0.075834,40,TIGHT
157,APAF,20,0.518490,0.303030,0.075758,40,TIGHT
158,APAF,20,0.516212,0.302725,0.075681,40,TIGHT
159,APAF,20,0.514050,0.943396,0.286303,40,TIGHT
160,APAF,20,0.512000,0.943396,0.311454,40,TIGHT
161,APAF,20,0.509654,0.943396,0.311378,40,TIGHT
162,APAF,20,0.507425,0.943396,0.286202,40,TIGHT
163,APAF,20,0.505306,0.301811,0.075453,40,TIGHT
164,APAF,20,0.503293,0.301508,0.075377,40,TIGHT
