tick,logic,n_tasks,jain_index,max_error_pct,avg_error_pct,ops_saved,apaf_state
1,BSA,20,0.050000,0.000000,0.000000,20,N/A
2,BSA,20,0.100000,0.496278,0.165426,20,N/A
3,BSA,20,0.150000,1.562500,0.854723,20,N/A
4,BSA,20,0.200000,11.111111,4.994347,20,N/A
5,BSA,20,0.250000,1.944729,0.962373,20,N/A
6,BSA,20,0.300000,2.419355,1.208287,20,N/A
7,BSA,20,0.350000,2.837939,1.403929,20,N/A
8,BSA,20,0.400000,5.882353,3.216461,20,N/A
9,BSA,20,0.450000,5.263158,3.231632,20,N/A
10,BSA,20,0.500000,4.761905,3.247281,20,N/A
11,BSA,20,0.550000,4.658077,3.403550,20,N/A
12,BSA,20,0.600000,8.000000,4.555571,20,N/A
13,BSA,20,0.650000,5.577689,3.725824,20,N/A
14,BSA,20,0.700000,33.333333,12.106588,20,N/A
15,BSA,20,0.750000,6.666667,4.832613,20,N/A
16,BSA,20,0.800000,9.375000,5.696213,20,N/A
17,BSA,20,0.850000,7.128240,5.043243,20,N/A
18,BSA,20,0.900000,8.571429,5.840310,20,N/A
19,BSA,20,0.950000,7.826087,4.659092,20,N/A
20,BSA,20,1.000000,25.000000,10.723551,20,N/A
21,BSA,20,0.958696,25.000000,10.889037,20,N/A
22,BSA,20,0.930769,9.756098,4.694179,20,N/A
23,BSA,20,0.912069,9.226933,4.092447,20,N/A
24,BSA,20,0.900000,9.879518,4.742607,20,N/A
25,BSA,20,0.892857,10.046729,4.733904,20,N/A
26,BSA,20,0.845000,20.000000,10.267284,20,N/A
27,BSA,20,0.810000,20.000000,10.308361,20,N/A
28,BSA,20,0.784000,20.000000,10.292956,20,N/A
29,BSA,20,0.764545,20.000000,10.771365,20,N/A
30,BSA,20,0.750000,20.000000,10.849851,20,N/A
31,BSA,20,0.717164,12.175649,5.874101,20,N/A
32,BSA,20,0.691892,12.500000,5.902778,20,N/A
33,BSA,20,0.672222,16.666667,10.551162,20,N/A
34,BSA,20,0.656818,16.666667,10.911836,20,N/A
35,BSA,20,0.644737,16.666667,10.969722,20,N/A
36,BSA,20,0.661224,16.666667,10.986100,20,N/A
37,BSA,20,0.677723,16.666667,11.001773,20,N/A
38,BSA,20,0.694231,16.666667,11.426620,20,N/A
39,BSA,20,0.710748,16.666667,11.434398,20,N/A
40,BSA,20,0.727273,16.666667,11.448045,20,N/A
41,BSA,20,0.706303,16.666667,11.851986,20,N/A
42,BSA,20,0.689063,28.571429,14.869730,20,N/A
43,BSA,20,0.674818,15.645161,11.270598,20,N/A
44,BSA,20,0.663014,16.417910,11.650469,20,N/A
45,BSA,20,0.653226,16.176471,11.657932,20,N/A
46,BSA,20,0.637349,17.391304,12.060122,20,N/A
47,BSA,20,0.624011,16.666667,11.723602,20,N/A
48,BSA,20,0.612766,17.142857,12.124514,20,N/A
49,BSA,20,0.603266,17.313433,12.125139,20,N/A
50,BSA,20,0.595238,18.055556,12.442777,20,N/A
51,BSA,20,0.583184,17.810219,12.476038,20,N/A
52,BSA,20,0.572881,18.918919,12.780927,20,N/A
53,BSA,20,0.564056,25.000000,15.184095,20,N/A
54,BSA,20,0.556489,25.000000,15.520066,20,N/A
55,BSA,20,0.550000,25.000000,15.518657,20,N/A
56,BSA,20,0.560000,25.000000,15.549283,20,N/A
57,BSA,20,0.570000,25.000000,15.872196,20,N/A
58,BSA,20,0.580000,25.000000,15.873266,20,N/A
59,BSA,20,0.590000,25.000000,16.184739,20,N/A
60,BSA,20,0.600000,25.000000,15.929721,20,N/A
61,BSA,20,0.590635,25.000000,16.243342,20,N/A
62,BSA,20,0.582424,20.211361,13.177840,20,N/A
63,BSA,20,0.575217,20.209974,13.115765,20,N/A
64,BSA,20,0.568889,20.731707,13.451156,20,N/A
65,BSA,20,0.563333,20.731707,13.482571,20,N/A
66,BSA,20,0.555612,20.924262,13.476547,20,N/A
67,BSA,20,0.548778,22.222222,15.937517,20,N/A
68,BSA,20,0.542723,22.222222,16.235892,20,N/A
69,BSA,20,0.537359,22.222222,16.265343,20,N/A
70,BSA,20,0.532609,22.222222,16.262689,20,N/A
71,BSA,20,0.526200,22.222222,16.291215,20,N/A
72,BSA,20,0.520482,22.222222,16.579429,20,N/A
73,BSA,20,0.515377,22.222222,16.613867,20,N/A
74,BSA,20,0.510821,22.249389,16.577673,20,N/A
75,BSA,20,0.506757,22.384428,16.611433,20,N/A
76,BSA,20,0.513879,22.727273,16.890336,20,N/A
77,BSA,20,0.521002,22.743682,16.923294,20,N/A
78,BSA,20,0.528125,23.595506,17.172995,20,N/A
79,BSA,20,0.535249,23.122765,16.954224,20,N/A
80,BSA,20,0.542373,23.333333,17.201463,20,N/A
81,BSA,20,0.553204,23.376623,17.233045,20,N/A
82,BSA,20,0.564094,23.501763,17.264330,20,N/A
83,BSA,20,0.575042,24.175824,17.512861,20,N/A
84,BSA,20,0.586047,23.776224,17.268842,20,N/A
85,BSA,20,0.597107,24.013921,17.537297,20,N/A
86,BSA,20,0.590735,24.046243,17.545377,20,N/A
87,BSA,20,0.584930,24.193548,17.582204,20,N/A
88,BSA,20,0.579641,30.000000,19.760777,20,N/A
89,BSA,20,0.574819,30.000000,19.797081,20,N/A
90,BSA,20,0.570423,30.000000,19.833137,20,N/A
91,BSA,20,0.564870,30.000000,19.774797,20,N/A
92,BSA,20,0.559788,30.000000,19.810460,20,N/A
93,BSA,20,0.555135,30.000000,19.845883,20,N/A
94,BSA,20,0.550873,30.000000,20.079834,20,N/A
95,BSA,20,0.546970,30.000000,20.114782,20,N/A
96,BSA,20,0.542118,30.000000,20.149495,20,N/A
97,BSA,20,0.537657,30.000000,20.378604,20,N/A
98,BSA,20,0.533556,30.000000,20.392215,20,N/A
99,BSA,20,0.529784,30.000000,20.165929,20,N/A
100,BSA,20,0.526316,30.000000,20.199835,20,N/A
101,BSA,20,0.531856,30.000000,20.406445,20,N/A
102,BSA,20,0.537397,30.000000,20.440009,20,N/A
103,BSA,20,0.542938,30.000000,20.453146,20,N/A
104,BSA,20,0.548479,30.000000,20.655579,20,N/A
105,BSA,20,0.554020,30.000000,20.688692,20,N/A
106,BSA,20,0.549706,30.000000,20.728744,20,N/A
107,BSA,20,0.545710,30.000000,20.741537,20,N/A
108,BSA,20,0.542007,30.000000,20.754275,20,N/A
109,BSA,20,0.538577,30.000000,20.952486,20,N/A
110,BSA,20,0.535398,30.000000,20.739499,20,N/A
111,BSA,20,0.531536,30.000000,20.752015,20,N/A
112,BSA,20,0.527946,30.000000,20.764478,20,N/A
113,BSA,20,0.524610,30.000000,20.987968,20,N/A
114,BSA,20,0.521509,30.000000,21.000267,20,N/A
115,BSA,20,0.518627,30.000000,21.039137,20,N/A
116,BSA,20,0.515161,30.000000,21.051275,20,N/A
117,BSA,20,0.511930,30.000000,21.063362,20,N/A
118,BSA,20,0.508918,30.000000,21.282545,20,N/A
119,BSA,20,0.506112,30.000000,21.275302,20,N/A
120,BSA,20,0.503497,30.000000,21.313604,20,N/A
121,BSA,20,0.508015,30.000000,21.325430,20,N/A
122,BSA,20,0.512534,30.000000,21.344468,20,N/A
123,BSA,20,0.517054,30.000000,21.382424,20,N/A
124,BSA,20,0.521574,30.000000,21.552288,20,N/A
125,BSA,20,0.526094,30.000000,21.590061,20,N/A
126,BSA,20,0.522925,36.363636,23.173674,20,N/A
127,BSA,20,0.519955,36.363636,23.211265,20,N/A
128,BSA,20,0.517172,28.020833,20.686135,20,N/A
129,BSA,20,0.514564,28.095734,20.704860,20,N/A
130,BSA,20,0.512121,28.245067,20.742194,20,N/A
131,BSA,20,0.509228,28.215768,20.910959,20,N/A
132,BSA,20,0.506512,28.290155,20.929556,20,N/A
133,BSA,20,0.503960,28.438469,20.966634,20,N/A
134,BSA,20,0.501564,28.409091,20.959289,20,N/A
135,BSA,20,0.499315,28.482972,20.977760,20,N/A
136,BSA,20,0.496670,28.556701,20.996192,20,N/A
137,BSA,20,0.494181,28.527291,20.988840,20,N/A
138,BSA,20,0.491839,28.846154,21.179926,20,N/A
139,BSA,20,0.489635,28.846154,21.216579,20,N/A
140,BSA,20,0.487562,28.846154,21.234848,20,N/A
141,BSA,20,0.491374,28.846154,21.227466,20,N/A
142,BSA,20,0.495187,28.863869,21.245688,20,N/A
143,BSA,20,0.499000,28.936605,21.263872,20,N/A
144,BSA,20,0.502813,29.009193,21.282019,20,N/A
145,BSA,20,0.506627,28.979592,21.274618,20,N/A
146,BSA,20,0.512404,29.051988,21.292717,20,N/A
147,BSA,20,0.518201,29.124236,21.310779,20,N/A
148,BSA,20,0.524019,29.523810,21.480193,20,N/A
149,BSA,20,0.529857,29.523810,21.498219,20,N/A
150,BSA,20,0.535714,29.523810,21.490801,20,N/A
151,BSA,20,0.532983,29.523810,21.508779,20,N/A
152,BSA,20,0.530395,29.523810,21.526720,20,N/A
153,BSA,20,0.527943,29.523810,21.544626,20,N/A
154,BSA,20,0.525621,29.523810,21.562495,20,N/A
155,BSA,20,0.523420,29.523810,21.537191,20,N/A
156,BSA,20,0.520890,29.523810,21.555049,20,N/A
157,BSA,20,0.518490,29.523810,21.572872,20,N/A
158,BSA,20,0.516212,29.566095,21.590658,20,N/A
159,BSA,20,0.514050,30.188679,21.756875,20,N/A
160,BSA,20,0.512000,30.188679,21.774626,20,N/A
161,BSA,20,0.509654,30.188679,21.792341,20,N/A
162,BSA,20,0.507425,30.188679,21.767164,20,N/A
163,BSA,20,0.505306,30.188679,21.784869,20,N/A
164,BSA,20,0.503293,30.188679,21.802538,20,N/A
165,BSA,20,0.501381,30.188679,21.802538,20,N/A
166,BSA,20,0.504689,30.188679,21.820171,20,N/A
167,BSA,20,0.507996,30.188679,21.820171,20,N/A
168,BSA,20,0.511304,30.188679,21.837769,20,N/A
169,BSA,20,0.514613,30.188679,21.855332,20,N/A
170,BSA,20,0.517921,30.188679,21.855332,20,N/A
171,BSA,20,0.515714,29.929930,21.611985,20,N/A
172,BSA,20,0.513611,29.929930,21.611985,20,N/A
173,BSA,20,0.511607,30.000000,21.629503,20,N/A
174,BSA,20,0.509697,30.000000,21.794817,20,N/A
175,BSA,20,0.507877,30.069930,21.812300,20,N/A
176,BSA,20,0.505813,30.069930,21.812300,20,N/A
177,BSA,20,0.503844,30.139721,21.829747,20,N/A
178,BSA,20,0.501965,30.139721,21.829747,20,N/A
179,BSA,20,0.500172,30.209372,21.847160,20,N/A
180,BSA,20,0.498462,30.209372,21.847160,20,N/A
181,BSA,20,0.496529,30.278884,21.864538,20,N/A
182,BSA,20,0.494683,30.278884,21.864538,20,N/A
183,BSA,20,0.492920,30.248756,21.857006,20,N/A
184,BSA,20,0.491236,30.248756,21.857006,20,N/A
185,BSA,20,0.489628,30.248756,21.857006,20,N/A
186,BSA,20,0.492540,30.318091,21.874340,20,N/A
187,BSA,20,0.495452,30.318091,21.874340,20,N/A
188,BSA,20,0.498364,30.387289,21.891640,20,N/A
